ccf_ap	ccf_dv	ccf_lr	allen_ontology
9323.3	3537.2	3728.9	root
9314.9	3517.4	3715	root
9329.4	3497.6	3760.9	root
9318	3497.6	3731	root
9321	3477.8	3746.9	root
9309.6	3477.8	3717.1	root
9324.1	3458	3762.9	root
9312.6	3458	3733	root
9315.7	3438.2	3749	root
9304.2	3438.2	3719.1	root
9318.7	3418.4	3765	root
9307.3	3418.4	3735.1	root
9310.3	3398.6	3751.1	root
9298.9	3398.6	3721.2	root
9313.4	3378.8	3767	root
9301.9	3378.8	3737.1	root
9305	3359	3753.1	root
9293.5	3359	3723.2	root
9308.1	3339.2	3769.1	root
9296.6	3339.2	3739.2	root
9299.7	3319.4	3755.2	root
9288.2	3319.4	3725.3	root
9302.7	3299.6	3771.1	root
9291.2	3299.6	3741.2	root
9294.3	3279.8	3757.2	root
9282.8	3279.8	3727.3	root
9297.4	3260	3773.2	root
9285.9	3260	3743.3	root
9289	3240.3	3759.3	root
9277.5	3240.3	3729.4	root
9292	3220.5	3775.2	root
9280.6	3220.5	3745.3	root
9283.6	3200.7	3761.3	root
9272.2	3200.7	3731.4	root
9286.7	3180.9	3777.3	root
9275.2	3180.9	3747.4	root
9278.3	3161.1	3763.4	root
9266.8	3161.1	3733.5	root
9281.3	3141.3	3779.3	root
9272.9	3121.5	3765.4	root
9261.5	3121.5	3735.5	root
9276	3101.7	3781.4	root
9264.5	3101.7	3751.5	root
9267.6	3081.9	3767.5	root
9256.1	3081.9	3737.6	root
9270.7	3062.1	3783.4	root
9259.2	3062.1	3753.6	root
9262.2	3042.3	3769.5	root
9250.8	3042.3	3739.6	root
9265.3	3022.5	3785.5	root
9253.8	3022.5	3755.6	root
9256.9	3002.7	3771.6	root
9245.4	3002.7	3741.7	root
9260	2982.9	3787.5	root
9248.5	2982.9	3757.7	root
9251.6	2963.1	3773.6	root
9240.1	2963.1	3743.7	root
9254.6	2943.3	3789.6	root
9243.2	2943.3	3759.7	root
9246.2	2923.5	3775.7	root
9234.7	2923.5	3745.8	root
9249.3	2903.8	3791.6	root
9237.8	2903.8	3761.8	root
9240.9	2884	3777.7	root
9229.4	2884	3747.8	root
9243.9	2864.2	3793.7	root
9232.5	2864.2	3763.8	root
9235.5	2844.4	3779.8	root
9224.1	2844.4	3749.9	root
9238.6	2824.6	3795.7	root
9227.1	2824.6	3765.9	root
9230.2	2804.8	3781.8	root
9218.7	2804.8	3751.9	root
9233.2	2785	3797.8	root
9221.8	2785	3767.9	root
9213.4	2765.2	3754	root
9227.9	2745.4	3799.8	root
9216.4	2745.4	3770	root
9219.5	2725.6	3785.9	root
9208	2725.6	3756.1	root
9222.6	2705.8	3801.9	root
9211.1	2705.8	3772	root
9214.2	2686	3788	root
9202.7	2686	3758.1	root
9217.2	2666.2	3803.9	root
9205.7	2666.2	3774.1	root
9208.8	2646.4	3790	root
9197.3	2646.4	3760.2	root
9211.9	2626.6	3806	root
9200.4	2626.6	3776.1	POST
9203.5	2606.8	3792.1	POST
9192	2606.8	3762.2	POST
9206.5	2587	3808	POST
9195.1	2587	3778.2	POST
9198.1	2567.3	3794.1	POST
9186.7	2567.3	3764.3	POST
9201.2	2547.5	3810.1	POST
9189.7	2547.5	3780.2	POST
9192.8	2527.7	3796.2	POST
9181.3	2527.7	3766.3	POST
9195.8	2507.9	3812.1	POST
9184.4	2507.9	3782.3	POST
9187.4	2488.1	3798.2	POST
9176	2488.1	3768.4	POST
9190.5	2468.3	3814.2	POST
9179	2468.3	3784.3	POST
9182.1	2448.5	3800.3	POST
9170.6	2448.5	3770.4	POST
9185.1	2428.7	3816.2	POST
9173.7	2428.7	3786.4	POST
9176.7	2408.9	3802.3	POST
9165.3	2408.9	3772.5	POST
9179.8	2389.1	3818.3	POST
9171.4	2369.3	3804.4	POST
9159.9	2369.3	3774.5	POST
9174.5	2349.5	3820.4	POST
9163	2349.5	3790.5	POST
9166.1	2329.7	3806.4	POST
9154.6	2329.7	3776.6	POST
9169.1	2309.9	3822.4	POST
9157.6	2309.9	3792.5	POST
9160.7	2290.1	3808.5	POST
9149.2	2290.1	3778.6	POST
9163.8	2270.3	3824.5	POST
9152.3	2270.3	3794.6	POST
9155.4	2250.5	3810.5	POST
9143.9	2250.5	3780.7	POST
9158.4	2230.8	3826.5	POST
9147	2230.8	3796.6	POST
9150	2211	3812.6	POST
9138.6	2211	3782.7	POST
9153.1	2191.2	3828.6	POST
9141.6	2191.2	3798.7	POST
9144.7	2171.4	3814.6	POST
9133.2	2171.4	3784.8	POST
9147.7	2151.6	3830.6	POST
9136.3	2151.6	3800.7	POST
9139.3	2131.8	3816.7	POST
9127.9	2131.8	3786.8	POST
9142.4	2112	3832.7	POST
9130.9	2112	3802.8	POST
9134	2092.2	3818.7	POST
9122.5	2092.2	3788.9	POST
9137.1	2072.4	3834.7	POST
9125.6	2072.4	3804.8	POST
9128.6	2052.6	3820.8	POST
9117.2	2052.6	3790.9	POST
9131.7	2032.8	3836.8	POST
9120.2	2032.8	3806.9	POST
9111.8	2013	3793	POST
9126.4	1993.2	3838.8	POST
9114.9	1993.2	3808.9	POST
9118	1973.4	3824.9	POST
9106.5	1973.4	3795	POST
9121	1953.6	3840.9	POST
9109.6	1953.6	3811	POST
9112.6	1933.8	3827	POST
9101.1	1933.8	3797.1	POST
9115.7	1914	3842.9	POST
9104.2	1914	3813	POST
9107.3	1894.3	3829	POST
9095.8	1894.3	3799.1	POST
9110.3	1874.5	3845	POST
9098.9	1874.5	3815.1	POST
9101.9	1854.7	3831.1	POST
9090.5	1854.7	3801.2	POST
9105	1834.9	3847	POST
9093.5	1834.9	3817.1	POST
9096.6	1815.1	3833.1	POST
9085.1	1815.1	3803.2	POST
9099.6	1795.3	3849.1	POST
9088.2	1795.3	3819.2	POST
9091.2	1775.5	3835.2	POST
9079.8	1775.5	3805.3	POST
9094.3	1755.7	3851.1	POST
9082.8	1755.7	3821.2	POST
9085.9	1735.9	3837.2	POST
9074.4	1735.9	3807.3	POST
9089	1716.1	3853.2	POST
9077.5	1716.1	3823.3	POST
9080.6	1696.3	3839.3	POST
9069.1	1696.3	3809.4	POST
9083.6	1676.5	3855.2	POST
9072.1	1676.5	3825.3	POST
9075.2	1656.7	3841.3	POST
9063.7	1656.7	3811.4	POST
9078.3	1636.9	3857.3	POST
9069.9	1617.1	3843.4	POST
9058.4	1617.1	3813.5	POST
9072.9	1597.3	3859.3	POST
9061.5	1597.3	3829.5	POST
9064.5	1577.5	3845.4	POST
9053.1	1577.5	3815.5	POST
9067.6	1557.8	3861.4	POST
9056.1	1557.8	3831.5	POST
9059.2	1538	3847.5	POST
